text_id,text_uri,title_ar,title_lat,ed_info,collection,tok_length,volumes,page_count,author_id,tags
Shia001265,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,كتاب سليم بن قيس,Kitab Sulaym,محمد باقر الأنصاري الزنجاني,al-Shāmila al-Shīʿiyya,58762,1,327,0085SulaymIbnQaysHilali,_HADITH :: _SHICI
JK007544,0090AkhtalShacir.Diwan.JK007544-ara1,ديوان الأخطل,Diwan,nan,al-Jāmiʿ al-Kabīr,21979,1,307,0090AkhtalShacir,_SHICR :: _SHICR_UMAWI
JK007545,0090RaciNumayriShacir.Diwan.JK007545-ara1,ديوان الراعي النميري,Diwan,nan,al-Jāmiʿ al-Kabīr,13528,1,208,0090RaciNumayriShacir,_SHICR
JK007562,0090WaddahYaman.Diwan.JK007562-ara1,ديوان وضاح اليمن,Diwan,nan,al-Jāmiʿ al-Kabīr,2572,1,48,0090WaddahYaman,_SHICR :: _SHICR_UMAWI
JK007556,0093IbnAbiRabica.Diwan.JK007556-ara1,ديوان عمر ابن أبي ربيعة,Diwan,nan,al-Jāmiʿ al-Kabīr,37188,1,572,0093IbnAbiRabica,_SHICR
JK007553,0095CadiIbnRiqac.Diwan.JK007553-ara1,ديوان عدي بن الرقاع,Diwan,nan,al-Jāmiʿ al-Kabīr,3185,1,74,0095CadiIbnRiqac,_SHICR
JK000459,0104MujahidIbnJabr.Tafsir.JK000459-ara1,تفسير مجاهد,Tafsir,عبدالرحمن الطاهر محمد السورتي :: بيروت :: المنشورات العلمية,al-Jāmiʿ al-Kabīr,82777,2,734,0104MujahidIbnJabr,_CULUM :: _TAFSIR :: _QURAN :: _SUNNI
JK007543,0105AhwasAnsari.Diwan.JK007543-ara1,ديوان الأحوص,Diwan,nan,al-Jāmiʿ al-Kabīr,8474,1,210,0105AhwasAnsari,_SHICR
JK007558,0105KuthayyirCazza.Diwan.JK007558-ara1,ديوان كثير عزة,Diwan,nan,al-Jāmiʿ al-Kabīr,17913,1,245,0105KuthayyirCazza,_SHICR :: _SHICR_UMAWI
JK007547,0110Farazdaq.Diwan.JK007547-ara1,ديوان الفرزدق,Diwan,nan,al-Jāmiʿ al-Kabīr,6400,1,107,0110Farazdaq,_SHICR
Shamela0005722,0110HasanBasri.FadailMakka.Shamela0005722-ara1.mARkdown,فضائل مكة,Faḍāʾil Makkaŧ,http://www.worldcat.org/oclc/8850761 :: سامي مكي العاني :: مكتبة الفلاح - الكويت,al-Maktaba al-Shāmila,3094,1,31,0110HasanBasri,_HADITH :: _BULDAN :: _AJZA :: _TARIKH :: _TARAJIM :: _TABAQAT
ShamAY0035241,0110HasanBasri.TarghibMakka.ShamAY0035241-ara1,الترغيب في الإقامة بمكة للحسن البصري :: الترغيب في الإقامة بمكة للحسن البصري ,Targhib Makka,الدكتور جميل عبد الله عويضة,al-Maktaba al-Shāmila AY,1863,1,10,0110HasanBasri,_HADITH
JK006856,0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2,منتخب الكلام في تفسير الأحلام,Muntakhab Kalam Fi Tafsir Ahlam,بيروت :: دار الفكر,al-Jāmiʿ al-Kabīr,211445,1,311,0110IbnSirin,_AHLAM
JK007549,0110JarirShacir.Diwan.JK007549-ara1,ديوان جرير,Diwan,nan,al-Jāmiʿ al-Kabīr,52546,1,674,0110JarirShacir,_SHICR
JK007551,0117DhuRumma.Diwan.JK007551-ara1,ديوان ذو الرمة,Diwan,nan,al-Jāmiʿ al-Kabīr,26838,1,351,0117DhuRumma,_SHICR :: _SHICR_UMAWI
JK000163,0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1,الناسخ والمنسوخ للسدوسي :: الناسخ والنسوخ,Nasikh Wa Mansukh,د. حاتم صالح الضامن :: بيروت :: 1404 :: مؤسسة الرسالة,al-Jāmiʿ al-Kabīr,3261,1,25,0117IbnDicamaSadusi,_CULUM :: _TAFSIR :: _NASIKH :: _QURAN :: _MANSUKH
Zaydiyya0000074,0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1,مجموع رسائل الإمام زيد بن علي عليهم السلام,Majmuc Rasail,nan,al-Shāmila al-Zaydiyya,43119,1,270,0122ZaydIbnCali,_RASAIL
Zaydiyya0000065,0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1,منسك الحج والعمرة للإمام زيد (ع),Mansik Hajj,nan,al-Shāmila al-Zaydiyya,11040,1,90,0122ZaydIbnCali,_FIQH
